lemma,pos,gender,plural,derived_verbs,derived_adj,gloss,etym_lang,source,notes,ipa_raw_lemma,ipa_raw_pl
camilafcă,N,FEM,camilafce,,,monk's hat,,https://ro.wiktionary.org/wiki/camilafc%C4%83,,ka.mi'laf.kə,
camion,N,NEUT,camioane,,,"lorry, truck",,https://ro.wiktionary.org/wiki/camion,,ka.miˈon,
camionagiu,N,MASC,camionagii,,,truck driver,,https://ro.wiktionary.org/wiki/camionagiu,,ka.mi.o.naˈʤiw,
camionaj,N,NEUT,camionaje,,,trucking,,https://ro.wiktionary.org/wiki/camionaj,,ka.mi.o'naʒ,
camionar,N,MASC,camionari,,,truck driver,,https://ro.wiktionary.org/wiki/camionar,,ka.mi.oˈnar,
camionetă,N,FEM,camionete,,,van,,https://ro.wiktionary.org/wiki/camionet%C4%83,,ka.mi.oˈne.tə,
camizol,N,NEUT,camizole,,,camisole,,https://ro.wiktionary.org/wiki/camizol,,,
camizon,N,NEUT,camizoane,,,,,https://en.wiktionary.org/wiki/camizon,,,
camohas,N,NEUT,,,,damask silk,,https://ro.wiktionary.org/wiki/camohas,needs plural confirmation,,
campament,N,NEUT,campamente,,,encampment,,https://ro.wiktionary.org/wiki/campament,,kəm.pəˈmen | kəm.pəˈment | kam.paˈment,
campanelă,N,FEM,campanele,,,small bell,,https://ro.wiktionary.org/wiki/campanel%C4%83,,kam.pa'ne.lə,
campanian,N,NEUT,campanieni,,,Campanian,,https://en.wiktionary.org/wiki/campanian,,,
campaniană,N,FEM,campaniane,,,,,https://en.wiktionary.org/wiki/campanian%C4%83,,,
campanie,N,FEM,campanii,,,campaign,,https://ro.wiktionary.org/wiki/campanie,,kamˈpa.ni.e,
campanilă,N,FEM,campanile,,,campanile,,https://ro.wiktionary.org/wiki/campanil%C4%83,,kam.pa'ni.lə,
campanulă,N,FEM,campanule,,,bellflower,,https://ro.wiktionary.org/wiki/campanul%C4%83,,kam.pa'nu.lə | fr:campanule,
campestru,ADJ,,,,,"campestrian, rustic",la,https://en.wiktionary.org/wiki/campestru,,,
camping,N,NEUT,campinguri,,,,,https://ro.wiktionary.org/wiki/camping,,kemˈpinɡ,
campioană,N,FEM,campioene,,,,,https://ro.wiktionary.org/wiki/campioan%C4%83,,kam.piˈo̯a.nə,
campion,N,MASC,campioni,,,champion,frk,https://ro.wiktionary.org/wiki/campion,,ˈkæmpiən,
campionat,N,NEUT,campionate,,,championship,,https://ro.wiktionary.org/wiki/campionat,,kəm.pi.uˈnat | kəm.pi.oˈnat | kam.pi.oˈnat,
camptocormie,N,FEM,camptocormii,,,camptocormia,,https://en.wiktionary.org/wiki/camptocormie,,,
camptodactilie,N,FEM,camptodactilii,,,camptodactyly,,https://en.wiktionary.org/wiki/camptodactilie,,,
campus,N,NEUT,campusuri,,,,en,https://ro.wiktionary.org/wiki/campus,,ˈkam.pus,
camuflaj,N,NEUT,camuflaje,,,camouflage,,https://ro.wiktionary.org/wiki/camuflaj,,ka.mu'flaʒ,
camuflare,N,FEM,camuflări,,,camouflage,,https://ro.wiktionary.org/wiki/camuflare,,,
camuflat,ADJ,,,,,hidden,,https://ro.wiktionary.org/wiki/camuflat,,,
camă,N,FEM,came,,,cam,,https://ro.wiktionary.org/wiki/cam%C4%83,,'ka.mə,
camătă,N,FEM,camete,cămătui,,interest ; usury,grc,https://ro.wiktionary.org/wiki/cam%C4%83t%C4%83,,'ka.mə.tə,
canabicultor,N,MASC,canabicultori,,,cannabis grower,,https://ro.wiktionary.org/wiki/canabicultor,,,
canabinacee,N,FEM,canabinacee,,,Cannabinaceae,,https://ro.wiktionary.org/wiki/canabinacee,,ka.na.bi.naˈʧe.e | fr:cannabacées | tr:kendirgiller,
canabinoid,N,MASC,canabinoizi,,,cannabinoid,,https://en.wiktionary.org/wiki/canabinoid,,,
canabis,N,NEUT,,,,cannabis,it,https://ro.wiktionary.org/wiki/canabis,needs plural confirmation,kaˈnabis | kaˈna.β̞is,
canabism,N,NEUT,,,,cannabism,,https://en.wiktionary.org/wiki/canabism,needs plural confirmation,,
canadian,N,MASC,canadieni,,,Canadian man,,https://ro.wiktionary.org/wiki/canadian,,ka.na.diˈan,
canadiancă,N,FEM,canadience,,,,,https://en.wiktionary.org/wiki/canadianc%C4%83,,,
canadiană,N,FEM,canadiene,,,Canadian woman,,https://ro.wiktionary.org/wiki/canadian%C4%83,,ka.na.di'a.nə,
canaf,N,NEUT,canafuri,,,tassel,,https://ro.wiktionary.org/wiki/canaf,,ˈkana(v) | ˈka(ː)na(v),
canal,N,NEUT,,,,channel,la,https://ro.wiktionary.org/wiki/canal,needs plural confirmation,kaˈnal,
canalagiu,N,MASC,canalagii,,,sewerage worker,,https://ro.wiktionary.org/wiki/canalagiu,,ka.na.laˈʤiw,
canale,N,,canale,,,garden balsam,,https://ro.wiktionary.org/wiki/canale,needs gender confirmation,kaˈna.le,
canalicul,N,NEUT,canalicule,,,canaliculus,,https://ro.wiktionary.org/wiki/canalicul,,,
canalicular,ADJ,,,,,,,https://ro.wiktionary.org/wiki/canalicular,,-ɪkjʊlə(ɹ),
canaliculită,N,FEM,canaliculite,,,canaliculitis,,https://en.wiktionary.org/wiki/canaliculit%C4%83,,,
canalie,N,FEM,canalii,,,scoundrel,,https://ro.wiktionary.org/wiki/canalie,,,
canalizabil,ADJ,,,,,canalizable,,https://ro.wiktionary.org/wiki/canalizabil,,,
canalizare,N,FEM,canalizări,,,sewerage,,https://ro.wiktionary.org/wiki/canalizare,,,
canalizat,ADJ,,,,,channeled,,https://ro.wiktionary.org/wiki/canalizat,,,
canalizator,ADJ,,,,,channelizer,,https://ro.wiktionary.org/wiki/canalizator,,,
canalizație,N,FEM,canalizații,,,sewer,,https://ro.wiktionary.org/wiki/canaliza%C8%9Bie,,,
canapea,N,FEM,canapele,,,"sofa, settee, couch, chesterfield",,https://ro.wiktionary.org/wiki/canapea,,ka.naˈpe̯a,
canapeluță,N,FEM,canapeluțe,,,small sofa,,https://ro.wiktionary.org/wiki/canapelu%C8%9B%C4%83,,ka.na.pe'lu.ʦə,
canar,N,MASC,canari,,cănăriu,canary,es,https://ro.wiktionary.org/wiki/canar,,kaˈnar,
canara,N,FEM,canarale,,,cliff,ota,https://ro.wiktionary.org/wiki/canara,,,
canastă,N,FEM,canaste,,,canasta,,https://ro.wiktionary.org/wiki/canast%C4%83,,ka'nas.tə,
canat,N,NEUT,canate,,,half of an animal skin,,https://ro.wiktionary.org/wiki/canat,,fr:vantail,
canava,N,FEM,canavale,,,canvas,,https://ro.wiktionary.org/wiki/canava,,ka.naˈva,
cancan,N,NEUT,cancanuri,,,gossip,,https://ro.wiktionary.org/wiki/cancan,,ˈkænˌkæn | ˈkanˌkan | ˈkɛnˌkɛn | kɑnˈkɑn | kɑ̃ˈkɑ̃ | ˈkɑŋkɑn | ˈkɑ̝ŋkɑ̝n | ˈkɑnˌkɑn | ˈkɑ̝ŋˌkɑ̝n | ˈk̟æŋˌk̟æn | ˈkʷam.kʷã(m) | kɐ̃ˈkɐ̃ | kɐ̃ˈkan,
cancanier,ADJ,,,,,gossiping,,https://ro.wiktionary.org/wiki/cancanier,,,
cancelar,N,MASC,cancelari,,,chancellor,la,https://ro.wiktionary.org/wiki/cancelar,,kɐ̃.seˈla(ʁ) | kɐ̃.seˈla(h) | kɐ̃.seˈla(ɾ) | kɐ̃.seˈla(χ) | kɐ̃.seˈla(ɻ) | kɐ̃.sɨˈlaɾ | kɐ̃.sɨˈla.ɾi | kanθeˈlaɾ | kãn̟.θeˈlaɾ | kanseˈlaɾ | kãn.seˈlaɾ,
cancelariat,N,NEUT,cancelariate,,,chancellery,,https://ro.wiktionary.org/wiki/cancelariat,,,
cancelarie,N,FEM,cancelarii,,,chancellery,,https://ro.wiktionary.org/wiki/cancelarie,,,
cancelarism,N,NEUT,,,,bureaucratism,,https://en.wiktionary.org/wiki/cancelarism,needs plural confirmation,,
cancelaristic,ADJ,,,,,"chancellery, chancery",,https://en.wiktionary.org/wiki/cancelaristic,,,
cancer,N,NEUT,cancere,,,,la,https://ro.wiktionary.org/wiki/cancer,,ˈkænsə | ˈkæːnsə | ˈkænsɚ | -ænsə(ɹ) | ˈkaŋ.kɛr | ˈkan̠ʲ.t͡ʃer | ˈkɑn.ker | ˈkɑŋ.ker,
canceriform,ADJ,,,,,cancriform,,https://ro.wiktionary.org/wiki/canceriform,,,
cancerigen,N,NEUT,cancerigeni,,,carcinogenic,,https://ro.wiktionary.org/wiki/cancerigen,,,
cancerizare,N,FEM,cancerizări,,,cancerization,,https://ro.wiktionary.org/wiki/cancerizare,,,
cancerizat,ADJ,,,,,cancerous,,https://ro.wiktionary.org/wiki/cancerizat,,kan.ʧe.riˈzat,
canceroasă,N,FEM,canceroase,,,,,https://ro.wiktionary.org/wiki/canceroas%C4%83,,kan.ʧe'ro̯a.sə,
cancerofobie,N,FEM,cancerofobii,,,cancerophobia,,https://ro.wiktionary.org/wiki/cancerofobie,,,
cancerogeneză,N,FEM,cancerogeneze,,,carcinogenesis,,https://ro.wiktionary.org/wiki/cancerogenez%C4%83,,kan.ʧe.ro.ʤe'ne.zə,
cancerolog,N,MASC,cancerologi,,,oncologist,,https://ro.wiktionary.org/wiki/cancerolog,,,
cancerologic,ADJ,,,,,cancerological,,https://ro.wiktionary.org/wiki/cancerologic,,,
cancerologie,N,FEM,,,,cancerology,,https://ro.wiktionary.org/wiki/cancerologie,needs plural confirmation,,
cancerologă,N,FEM,cancerologe,,,,,https://ro.wiktionary.org/wiki/cancerolog%C4%83,,kan.ʧe.ro'lo.gə,
canceros,N,MASC,canceroși,,,cancer patient,,https://ro.wiktionary.org/wiki/canceros,,,
cancioc,N,NEUT,canciocuri,,,"ladle, scoop",,https://ro.wiktionary.org/wiki/cancioc,,kanˈʧjok,
canciog,N,NEUT,cancioguri,,,,,https://ro.wiktionary.org/wiki/canciog,,kanˈʧjog,
cancionero,N,NEUT,,,,,,https://ro.wiktionary.org/wiki/cancionero,needs plural confirmation,kanθjoˈneɾo | kãn̟.θjoˈne.ɾo | kansjoˈneɾo | kãn.sjoˈne.ɾo,
cancroid,N,NEUT,,,,,,https://en.wiktionary.org/wiki/cancroid,needs plural confirmation,,
candelabru,N,NEUT,candelabre,,,chandelier,,https://ro.wiktionary.org/wiki/candelabru,,,
candeluță,N,FEM,candeluțe,,,,,https://en.wiktionary.org/wiki/candelu%C8%9B%C4%83,,,
candid,ADJ,,,,,,la,https://ro.wiktionary.org/wiki/candid,,ˈkæn.dɪd,
candida,N,FEM,,,,thrush,,https://ro.wiktionary.org/wiki/candida,needs plural confirmation,ˈkan.di.da,
candidat,N,MASC,candidați,,,candidate,,https://ro.wiktionary.org/wiki/candidat,,kən.diˈðat | kan.diˈðat,
candidatură,N,FEM,candidaturi,,,nomination,,https://ro.wiktionary.org/wiki/candidatur%C4%83,,kan.di.da'tu.rə,
candidată,N,FEM,candidate,,,,,https://ro.wiktionary.org/wiki/candidat%C4%83,,kan.di'da.tə,
candidoză,N,FEM,candidoze,,,candidiasis,,https://ro.wiktionary.org/wiki/candidoz%C4%83,,kan.di'do.zə | tr:kandidiyaz | tr:kandidoz,
candilă,N,FEM,candile,,,,,https://en.wiktionary.org/wiki/candil%C4%83,,,
candoare,N,FEM,candori,,,candor,la,https://ro.wiktionary.org/wiki/candoare,,fr:candeur,
candriu,ADJ,,,,,"insane, crazy",,https://ro.wiktionary.org/wiki/candriu,,kanˈdriw,
canea,N,FEM,canele,,,,,https://ro.wiktionary.org/wiki/canea,,kaˈnɛ.a,
caneforă,N,FEM,canefore,,,canephorus,,https://en.wiktionary.org/wiki/canefor%C4%83,,,
canelat,ADJ,,,,,fluted,,https://ro.wiktionary.org/wiki/canelat,,,
canelură,N,FEM,caneluri,,,cannelure,,https://ro.wiktionary.org/wiki/canelur%C4%83,,ka.ne'lu.rə,
canevas,N,NEUT,canevasuri,,,network,,https://ro.wiktionary.org/wiki/canevas,,kan(ə)ˈvaːs | ˈkan(ə)vas,
cange,N,FEM,căngi,,căngiuit,hook on a pole,vec,https://ro.wiktionary.org/wiki/cange,,kɑ̃ʒ | ˈkan.d͡ʒe | -andʒe,
cangrenare,N,FEM,cangrenări,,,gangrene,,https://ro.wiktionary.org/wiki/cangrenare,,,
cangrenat,ADJ,,,,,gangrenous,,https://ro.wiktionary.org/wiki/cangrenat,,,
cangrenos,ADJ,,,,,gangrenous,,https://ro.wiktionary.org/wiki/cangrenos,,,
cangrenă,N,FEM,cangrene,,,gangrene,,https://ro.wiktionary.org/wiki/cangren%C4%83,,kan'gre.nə,
cangur,N,MASC,canguri,,,kangaroo,kky,https://ro.wiktionary.org/wiki/cangur,,ˈkaŋɡur,
canibal,N,MASC,canibali,,,"cannibal, man-eater",,https://ro.wiktionary.org/wiki/canibal,,ka.niˈbal,
canibalic,ADJ,,,,,cannibalistic,,https://ro.wiktionary.org/wiki/canibalic,,,
canibalism,N,NEUT,canibalism,,,cannibalism,,https://ro.wiktionary.org/wiki/canibalism,,,
canibală,N,FEM,canibale,,,,,https://ro.wiktionary.org/wiki/canibal%C4%83,,ka.niˈba.lə,
canicular,ADJ,,,,,,,https://ro.wiktionary.org/wiki/canicular,,ka.ni.kuˈlar,
caniculat,ADJ,,,,,fluted,,https://ro.wiktionary.org/wiki/caniculat,,,
canicultură,N,FEM,,,,dog breeding,,https://ro.wiktionary.org/wiki/canicultur%C4%83,needs plural confirmation,ka.ni.kul'tu.rə,
caniculă,N,FEM,canicule,,,heatwave,,https://ro.wiktionary.org/wiki/canicul%C4%83,,kaˈni.ku.lə,
canid,N,NEUT,canide,,,,,https://ro.wiktionary.org/wiki/canid,,ˈkeɪnəd | ˈkænəd,
canin,ADJ,,,,,canine,la,https://ro.wiktionary.org/wiki/canin,,,
canion,N,NEUT,canioane,,,canyon,,https://ro.wiktionary.org/wiki/canion,,ka.niˈon,
canistră,N,FEM,canistre,,,jerrycan,en,https://ro.wiktionary.org/wiki/canistr%C4%83,,ka'nis.trə,
canisă,N,FEM,canise,,,kennel,,https://ro.wiktionary.org/wiki/canis%C4%83,,ka'ni.sə,
caniș,N,MASC,,,,poodle,,https://ro.wiktionary.org/wiki/cani%C8%99,needs plural confirmation,ka'niʃ,
cannelloni,N,MASC,cannelloni,,,,,https://en.wiktionary.org/wiki/cannelloni,,ˈkɑnːelːo(ː)ni | ˈkɑ̝nːe̞lˌlo̞(ː)ni,
canoe,N,FEM,canoe,,,,,https://ro.wiktionary.org/wiki/canoe,,kəˈnuː | kaˈnɔ.e,
canoist,N,MASC,canoiști,,,canoeist,,https://ro.wiktionary.org/wiki/canoist,,,
canoistă,N,FEM,canoiste,,,,,https://ro.wiktionary.org/wiki/canoist%C4%83,,ka.noˈis.tə,
canon,N,NEUT,canoane,canoni,canonic,"tenet, dogma, rule, norm, precept",grc,https://ro.wiktionary.org/wiki/canon,,ˈkæn.ən | -ænən | ˈkaː.nɔn | ˈka.noːn | ˈkaː.non | kaˈnoːn | ˈkanon | ˈka.nõn | ˈkanɔn | ˈkaːnɔn,
canonadă,N,FEM,canonade,,,gunfire,,https://ro.wiktionary.org/wiki/canonad%C4%83,,ka.no'na.də,
canoneală,N,FEM,canoneli,,,"toil, effort",,https://ro.wiktionary.org/wiki/canoneal%C4%83,,ka.no'ne̯a.lə,
canonial,ADJ,,,,,canonical,,https://ro.wiktionary.org/wiki/canonial,,,
canonic,ADJ,,,,,,la,https://ro.wiktionary.org/wiki/canonic,,ˈkɑ.no.nik,
canonicat,N,NEUT,,,,canonicate,de,https://ro.wiktionary.org/wiki/canonicat,needs plural confirmation,ka.no.niˈkat,
canonicitate,N,FEM,canonicitate,,,canonicity,,https://ro.wiktionary.org/wiki/canonicitate,,,
canonieră,N,FEM,canoniere,,,gunboat,,https://ro.wiktionary.org/wiki/canonier%C4%83,,ka.no.ni'e.rə,
canonit,ADJ,,,,,tormented,,https://en.wiktionary.org/wiki/canonit,,,
canonizabil,ADJ,,,,,canonizable,,https://en.wiktionary.org/wiki/canonizabil,,,
canonizare,N,FEM,canonizări,,,canonization,,https://ro.wiktionary.org/wiki/canonizare,,,
canopă,N,FEM,canope,,,an ancient Egyptian vase,,https://en.wiktionary.org/wiki/canop%C4%83,,,
canotaj,N,NEUT,canotaj,,,rowing,,https://ro.wiktionary.org/wiki/canotaj,,ka.no'taʒ,
canotier,N,MASC,canotieri,,,canoeist,,https://ro.wiktionary.org/wiki/canotier,,kə.nu.tiˈe | kə.no.tiˈe | ka.no.tiˈeɾ,
canotieră,N,FEM,canotiere,,,,,https://ro.wiktionary.org/wiki/canotier%C4%83,,ka.no.ti'e.rə,
canotoare,N,FEM,canotoare,,,,,https://ro.wiktionary.org/wiki/canotoare,,,
canotor,N,MASC,canotori,,,rower,,https://ro.wiktionary.org/wiki/canotor,,,
cansiu,N,MASC,,,,purple,,https://en.wiktionary.org/wiki/cansiu,needs plural confirmation,,
cant,N,NEUT,canturi,,,edge,,https://ro.wiktionary.org/wiki/cant,,,
cantabil,ADJ,,,,,singable,,https://ro.wiktionary.org/wiki/cantabil,,,
cantabilitate,N,FEM,,,,cantabile,,https://ro.wiktionary.org/wiki/cantabilitate,needs plural confirmation,,
cantabru,N,MASC,cantabri,,,Cantabrian,,https://en.wiktionary.org/wiki/cantabru,,,
cantabră,N,FEM,cantabre,,,,,https://en.wiktionary.org/wiki/cantabr%C4%83,,,
cantal,N,NEUT,cantale,,,Cantal,,https://en.wiktionary.org/wiki/cantal,,ˈkanˠtˠəl̪ˠ,
cantalup,N,MASC,cantalupi,,,cantaloupe,,https://ro.wiktionary.org/wiki/cantalup,,kan.taˈlup,
cantaragiu,N,MASC,cantaragii,,,weigher,,https://ro.wiktionary.org/wiki/cantaragiu,,kan.ta.raˈʤiw,
cantaridină,N,FEM,cantaridine,,,cantharidin,,https://ro.wiktionary.org/wiki/cantaridin%C4%83,,kan.ta.ri'di.nə,
cantaridism,N,NEUT,,,,cantharidism,,https://ro.wiktionary.org/wiki/cantaridism,needs plural confirmation,,
cantaridă,N,FEM,cantaride,,,the Spanish fly,la,https://ro.wiktionary.org/wiki/cantarid%C4%83,,kan.ta'ri.də,
cantată,N,FEM,cantate,,,cantata,,https://ro.wiktionary.org/wiki/cantat%C4%83,,kan'ta.tə,
cantautoare,N,FEM,cantautoare,,,,,https://ro.wiktionary.org/wiki/cantautoare,,,
cantautor,N,MASC,cantautori,,,singer-songwriter,,https://ro.wiktionary.org/wiki/cantautor,,kant.a.uˈtor,
cantilenă,N,FEM,cantilene,,,cantilena,fr,https://ro.wiktionary.org/wiki/cantilen%C4%83,,kan.ti'le.nə,
cantinier,N,MASC,cantinieri,,,cellarman,,https://ro.wiktionary.org/wiki/cantinier,,kan.ti.niˈer,
cantinieră,N,FEM,cantiniere,,,,,https://ro.wiktionary.org/wiki/cantinier%C4%83,,kan.ti.ni'e.rə,
cantină,N,FEM,cantine,,,canteen,,https://ro.wiktionary.org/wiki/cantin%C4%83,,kan'ti.nə,
cantitate,N,FEM,cantități,,,"quantity, amount",la,https://ro.wiktionary.org/wiki/cantitate,,,
cantitativ,ADJ,,,,,quantitative,,https://ro.wiktionary.org/wiki/cantitativ,,,
canto,N,NEUT,cantō,,,,,https://ro.wiktionary.org/wiki/canto,,ˈkæntəʊ | ˈkæntoʊ | -æntəʊ | ˈkan.tu | ˈkan.to | ˈkanto̝ | ˈkan.toː | ˈkan.tɔ | ˈkɐ̃.tu | ˈkanto | ˈkãn̪.t̪o,
canton,N,NEUT,cantoane,,cantonal,,,https://ro.wiktionary.org/wiki/canton,,kanˈton,
cantonal,ADJ,,,,,,,https://ro.wiktionary.org/wiki/cantonal,,kən.tuˈnal | kən.toˈnal | kan.toˈnal | kantoˈnal | kãn̪.t̪oˈnal,
cantonament,N,NEUT,cantonamente,,,cantonment,,https://ro.wiktionary.org/wiki/cantonament,,,
cantonare,N,FEM,cantonări,,,"quartering, quarterage",,https://en.wiktionary.org/wiki/cantonare,,,
cantonat,ADJ,,,,,cantoned,,https://en.wiktionary.org/wiki/cantonat,,,
cantoneriță,N,FEM,cantonerițe,,,,,https://en.wiktionary.org/wiki/cantoneri%C8%9B%C4%83,,,
cantonier,N,MASC,cantonieri,,,"roadman, roadmender",,https://ro.wiktionary.org/wiki/cantonier,,,
cantonieriță,N,FEM,cantonierițe,,,,,https://ro.wiktionary.org/wiki/cantonieri%C8%9B%C4%83,,kan.to.ni.eˈri.ʦə,
cantonieră,N,FEM,cantoniere,,,,,https://ro.wiktionary.org/wiki/cantonier%C4%83,,kan.to.ni'e.rə,
cantoplastie,N,FEM,cantoplastii,,,canthoplasty,,https://en.wiktionary.org/wiki/cantoplastie,,,
cantor,N,MASC,cantori,,,,,https://ro.wiktionary.org/wiki/cantor,,ˈkæntɔː(ɹ) | ˈkæntə(ɹ) | -æntə(ɹ) | kənˈto | kanˈtoɾ | ˈkan.tɔr | ˈkan.tor | kɐ̃ˈtoʁ | kɐ̃ˈtoh | kɐ̃ˈtoɾ | kɐ̃ˈtoχ | kɐ̃ˈtoɻ | kɐ̃ˈto.ɾi | kãn̪ˈt̪oɾ | ˈkantɔr,
cantoră,N,FEM,cantore,,,"office, bureau",,https://ro.wiktionary.org/wiki/cantor%C4%83,,'kan.to.rə,
cantotomie,N,FEM,cantotomii,,,canthotomy,,https://en.wiktionary.org/wiki/cantotomie,,,
canulă,N,FEM,canule,,,cannula,,https://ro.wiktionary.org/wiki/canul%C4%83,,ka'nu.lə,
canun,N,NEUT,canunuri,,,,,https://en.wiktionary.org/wiki/canun,,,
canură,N,FEM,canuri,,,combings,,https://ro.wiktionary.org/wiki/canur%C4%83,,'ka.nu.rə,
cană,N,FEM,căni,,,"cup, mug",de,https://ro.wiktionary.org/wiki/can%C4%83,,ˈka.nə,
canțonetă,N,FEM,canțonete,,,canzonetta,,https://ro.wiktionary.org/wiki/can%C8%9Bonet%C4%83,,kan.ʦo'ne.tə,
canțonier,N,NEUT,canțoniere,,,songbook,,https://ro.wiktionary.org/wiki/can%C8%9Bonier,,,
canțonă,N,FEM,canțone,,,song,,https://ro.wiktionary.org/wiki/can%C8%9Bon%C4%83,,kan'ʦo.nə,
canță,N,FEM,canțăe,,,mare,,https://en.wiktionary.org/wiki/can%C8%9B%C4%83,,,
caolin,N,NEUT,,,,kaolin,,https://ro.wiktionary.org/wiki/caolin,needs plural confirmation,ka.oˈlin,
caolinit,N,NEUT,caolinit,,,kaolinite,,https://ro.wiktionary.org/wiki/caolinit,,ka.o.liˈnit,
caolinizare,N,FEM,caolinizări,,,kaolinization,fr,https://ro.wiktionary.org/wiki/caolinizare,,ka.o.li.niˈza.re,
caos,N,NEUT,caosuri,,,chaos,la,https://ro.wiktionary.org/wiki/caos,,ˈka.os,
capabil,ADJ,,,,,capable,la,https://ro.wiktionary.org/wiki/capabil,,kaˈpa.bil,
capabilitate,N,FEM,capabilități,,,capability,,https://ro.wiktionary.org/wiki/capabilitate,,ca.pa.bi.liˈta.te,
capac,N,NEUT,,,,lid,,https://ro.wiktionary.org/wiki/capac,needs plural confirmation,kaˈpak,
capacimetru,N,NEUT,capacimetre,,,capacitance meter,,https://ro.wiktionary.org/wiki/capacimetru,,,
capacitate,N,FEM,capacități,,,capacity,la,https://ro.wiktionary.org/wiki/capacitate,,kapatʃiˈtate,
capacitativ,ADJ,,,,,capacitive,,https://ro.wiktionary.org/wiki/capacitativ,,,
capacitiv,ADJ,,,,,capacitive,,https://ro.wiktionary.org/wiki/capacitiv,,,
capacitor,N,NEUT,capacitoare,,,,,https://en.wiktionary.org/wiki/capacitor,,kəˈpæ.sɪ.tə | kəˈpæ.sə.tɚ | ka.pa.siˈtoʁ | ka.pa.siˈtoh | ka.pa.siˈtoɾ | ka.pa.siˈtoχ | ka.pa.siˈtoɻ | kɐ.pɐ.siˈtoɾ | kɐ.pɐ.siˈto.ɾi | kapaθiˈtoɾ | ka.pa.θiˈt̪oɾ | kapasiˈtoɾ | ka.pa.siˈt̪oɾ,
capama,N,FEM,capamale,,,lamb stew,,https://ro.wiktionary.org/wiki/capama,,,
capan,N,MASC,capanuri,,,food warehouse,fa,https://ro.wiktionary.org/wiki/capan,,,
capanliu,N,MASC,capanlii,,,merchant in charge with providing food for the Ottoman troops,,https://ro.wiktionary.org/wiki/capanliu,,ka.panˈliw,
capanlâu,N,MASC,capănlâi,,,Turkish merchant who purchased food for the army,,https://en.wiktionary.org/wiki/capanl%C3%A2u,,,
capcană,N,FEM,capcane,,,"snare, trap",,https://ro.wiktionary.org/wiki/capcan%C4%83,,,
capelan,N,MASC,capelani,,,chaplain,,https://ro.wiktionary.org/wiki/capelan,,,
capelină,N,FEM,capeline,,,capelin,,https://ro.wiktionary.org/wiki/capelin%C4%83,,ka.pe'li.nə,
capelmaistru,N,MASC,capelmaiștri,,,"kapellmeister, bandmaster",,https://ro.wiktionary.org/wiki/capelmaistru,,ka.pelˈmajs.tru | kaˈpel.majs.tru,
capeluță,N,FEM,capeluțe,,,small chapel,,https://ro.wiktionary.org/wiki/capelu%C8%9B%C4%83,,ka.pe'lu.ʦə,
caper,N,MASC,caperi,,,,,https://ro.wiktionary.org/wiki/caper,,ˈkeɪpɚ | ˈkeɪpə | -eɪpə(ɹ) | ka.pə.ʁjɔ̃ | ka.pə.ʁje | ˈt͡ʃapər | ˈt͡ʃa.pər | -apər | ˈka.pɛr | ˈkaː.per,
caperă,N,FEM,capere,,,caper,,https://ro.wiktionary.org/wiki/caper%C4%83,,ka'pe.rə,
capeș,ADJ,,,,,"decisive, stubborn",,https://ro.wiktionary.org/wiki/cape%C8%99,,'ka.peʃ,
capia,N,MASC,,,,long red sweet pepper variety,,https://ro.wiktionary.org/wiki/capia,needs plural confirmation,ˈka.pi.a,
capibara,N,FEM,capibare,,,capybara,pt,https://ro.wiktionary.org/wiki/capibara,,kə.piˈβa.ɾə | kə.piˈba.ɾə | ka.piˈba.ɾa | ˌkaː.piˈbaː.raː | ka.piˈba.ra | kapiˈbaɾa | ka.piˈβ̞a.ɾa,
capichehaie,N,FEM,capichehăi,,,,,https://ro.wiktionary.org/wiki/capichehaie,,ka.pi.keˈha.je,
capigiu,N,MASC,capigii,,,,,https://en.wiktionary.org/wiki/capigiu,,,
capilar,ADJ,,,,,capillary,la,https://ro.wiktionary.org/wiki/capilar,,ka.piˈlaʁ | ka.piˈlah | ka.piˈlaɾ | ka.piˈlaχ | ka.piˈlaɻ | kɐ.piˈlaɾ | kɐ.piˈla.ɾi | kapiˈlaɾ,
capilaritate,N,FEM,capilaritate,,,capillarity,,https://ro.wiktionary.org/wiki/capilaritate,,,
capilarită,N,FEM,capilarite,,,capillaritis,,https://ro.wiktionary.org/wiki/capilarit%C4%83,,ka.pi.la'ri.tə,
capilaroscopie,N,FEM,capilaroscopii,,,capillaroscopy,,https://ro.wiktionary.org/wiki/capilaroscopie,,,
capital,N,NEUT,capitaluri,,,,la,https://ro.wiktionary.org/wiki/capital,,ka.piˈtal,
capitalie,N,FEM,capitalii,,,,,https://ro.wiktionary.org/wiki/capitalie,,,
capitalism,N,NEUT,capitalism,,,,,https://ro.wiktionary.org/wiki/capitalism,,ˈkapɪt(ə)lɪz(ə)m | ˈkæpɪ̈tl̩ˌɪzm̩,
capitalist,N,MASC,capitaliști,,,,,https://ro.wiktionary.org/wiki/capitalist,,ka.pi.taˈlist,
capitalistă,N,FEM,capitaliste,,,,,https://ro.wiktionary.org/wiki/capitalist%C4%83,,ka.pi.ta'lis.tə,
capitalizabil,ADJ,,,,,capitalizable,,https://ro.wiktionary.org/wiki/capitalizabil,,,
capitalizare,N,FEM,capitalizări,,,capitalization,,https://ro.wiktionary.org/wiki/capitalizare,,,
capitalizat,ADJ,,,,,capitalized,,https://ro.wiktionary.org/wiki/capitalizat,,,
